host_id,cpe,banner,source_id
2985CF79292411EAA9F2000CB43BE528,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB43F57A8,cpe:/a:apache:http_server:2.4.6,Apache httpd 2.4.6 (CentOS) mod_auth_gssapi/1.5.1 mod_nss/1.0.14 NSS/3.28.4 PHP/5.4.16 mod_wsgi/3.4 Python/2.7.5,5
2985CF79292411EAA9F2000CB43F57A8,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB43F57A8,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB448E76E,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB448E76E,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB44CC0DC,cpe:/a:openbsd:openssh:7.6p1,OpenSSH 7.6p1 Ubuntu 4ubuntu0.3 Ubuntu Linux; protocol 2.0,5
2985CF79292411EAA9F2000CB44CC0DC,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB451BBFA,cpe:/a:igor_sysoev:nginx:1.14.2,nginx 1.14.2,5
2985CF79292411EAA9F2000CB451BBFA,cpe:/a:openbsd:openssh:7.9p1,OpenSSH 7.9p1 Debian 10+deb10u1 protocol 2.0,5
2985CF79292411EAA9F2000CB451BBFA,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4556CD2,cpe:/a:lighttpd:lighttpd:1.4.42,lighttpd 1.4.42,5
2985CF79292411EAA9F2000CB4556CD2,cpe:/o:linux:linux_kernel:3.18,Linux Linux_kernel 3.18,5
2985CF79292411EAA9F2000CB4612176,cpe:/a:lighttpd:lighttpd:1.4.42,lighttpd 1.4.42,5
2985CF79292411EAA9F2000CB4612176,cpe:/o:linux:linux_kernel:3.18,Linux Linux_kernel 3.18,5
2985CF79292411EAA9F2000CB4647E2A,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF79292411EAA9F2000CB4647E2A,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB475A15A,cpe:/a:apache:http_server,Apache httpd,5
2985CF79292411EAA9F2000CB475A15A,cpe:/a:mysql:mysql:5.6.36-82.1-log,MySQL 5.6.36-82.1-log,5
2985CF79292411EAA9F2000CB475A15A,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
2985CF79292411EAA9F2000CB475A15A,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB47801A2,cpe:/o:vmware:esxi:5.5,Vmware Esxi 5.5,5
2985CF79292411EAA9F2000CB47A142E,cpe:/a:apache:http_server,Apache httpd,5
2985CF79292411EAA9F2000CB47A142E,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
2985CF79292411EAA9F2000CB47A142E,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB47E157E,cpe:/a:openbsd:openssh:7.8,OpenSSH 7.8 protocol 2.0,5
2985CF79292411EAA9F2000CB47E157E,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4808142,cpe:/a:openbsd:openssh:6.7p1,OpenSSH 6.7p1 protocol 2.0,5
