timestamp,attackerIP,victimIP,attackerPort,victimPort,attackerAsset,victimAsset,eventName,eventType,attackerName,victimName,attackerMac,victimMac,attackerHost,victimHost,attackerNet,victimNet
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:45,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:45,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:45,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:45,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:47,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:47,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:49,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:51,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:51,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:51,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
