hostId,ip,port,name,version,sourceId
421D8A7B216711EA93D444A8A537B58A,192.168.0.120,22,tcpwrapped,unknown,5
421D8A7B216711EA93D444A8A537B58A,192.168.0.120,80,tcpwrapped,unknown,5
421D8A7B216711EA93D444A8A537B58A,192.168.0.120,443,tcpwrapped,unknown,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,135,msrpc,Microsoft Windows RPC,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,139,netbios-ssn,Microsoft Windows netbios-ssn,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,443,https,VMware VirtualCenter Web service,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,445,microsoft-ds,Windows 7 Ultimate 7600 microsoft-ds workgroup: WORKGROUP,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,902,ssl,,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,3389,ms-wbt-server,unknown,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,4006,ssl,,5
421D8A7B216A11EAAB9344A86D9D0B86,192.168.0.39,5826,ssl,,5
421D8A7B26C811EA8F3044A8FD7747F4,192.168.0.83,22,ssh,,6
421D8A7B6FD111EA802244A8799E6F00,192.168.2.40,22,ssh,cpe:/a:openbsd:openssh:7.9,5
421D8A7B6FD111EA802244A8799E6F00,192.168.2.40,80,http,unknown,5
421D8A7B6FD111EA802244A8799E6F00,192.168.2.40,443,https,unknown,5
421D8A7B6FD111EA802244A87A19E1F8,192.168.2.78,80,http,unknown,5
421D8A7B6FD111EA802244A87B201C70,192.168.3.200,22,ssh,cpe:/a:openbsd:openssh:5.3,5
421D8A7B6FD111EA802244A87B201C70,192.168.3.200,80,http,cpe:/a:igor_sysoev:nginx,5
421D8A7B6FD111EA802244A88050E846,192.168.3.250,21,ftp,,6
421D8A7B6FD111EA802244A88050E846,192.168.3.250,22,ssh,,6
421D8A7B6FD111EA802244A88050E846,192.168.3.250,80,http,,6
421D8A7B6FD111EA802244A88050E846,192.168.3.250,443,ssl,,6
421D8A7B6FD111EA802244A8813FD7E4,192.168.3.208,21,ftp,,6
421D8A7B6FD111EA802244A8813FD7E4,192.168.3.208,22,ssh,,6
421D8A7B6FD111EA802244A8813FD7E4,192.168.3.208,80,http,,6
421D8A7B6FD111EA802244A888DB109A,192.168.2.51,21,ftp,cpe:/a:vsftpd:vsftpd:2.0.1,5
